mainTableName,COLUMN_NAME,referenceTableName,refColumnName,DATA_TYPE,TABLE_DESCRIPTION,COLUMN_DESCRIPTION
OTM.ALLOCATION_BASE,ALLOC_SEQ_NO,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOC_SEQ_NO.
OTM.ALLOCATION_BASE,ALLOC_TYPE_QUAL_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,ALLOCATED_COST,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOCATED_COST.
OTM.ALLOCATION_BASE,ALLOCATED_COST_BASE,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOCATED_COST_BASE.
OTM.ALLOCATION_BASE,ALLOCATED_COST_CURRENCY_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,ALLOCATED_COST_FN,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOCATED_COST_FN.
OTM.ALLOCATION_BASE,ALLOCATED_COST_FN_CURRENCY_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,DOMAIN_NAME,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column DOMAIN_NAME.
OTM.ALLOCATION_BASE,EXCHANGE_RATE_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_BASE,EXCHANGE_RATE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,INSERT_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_BASE,INSERT_USER,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column INSERT_USER.
OTM.ALLOCATION_BASE,INVOICE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,MTBI_BUSINESS_UNIT,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column MTBI_BUSINESS_UNIT.
OTM.ALLOCATION_BASE,PARENT_INVOICE_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,SHIPMENT_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_BASE,TIMESTAMP,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column TIMESTAMP.
OTM.ALLOCATION_BASE,UPDATE_DATE,,,float,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_BASE,UPDATE_USER,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column UPDATE_USER.
OTM.ALLOCATION_BASE,VOUCHER_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,ALLOC_SEQ_NO,,,bigint,Stores all location master data used across shipments and orders.,Business-specific data stored in column ALLOC_SEQ_NO.
OTM.ALLOCATION_D,BASE_COST,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column BASE_COST.
OTM.ALLOCATION_D,BASE_COST_BASE,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column BASE_COST_BASE.
OTM.ALLOCATION_D,BASE_COST_CURRENCY_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,BASE_COST_FN,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column BASE_COST_FN.
OTM.ALLOCATION_D,BASE_COST_FN_CURRENCY_GID,,,float,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,DOMAIN_NAME,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column DOMAIN_NAME.
OTM.ALLOCATION_D,EXCHANGE_RATE_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_D,EXCHANGE_RATE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
OTM.ALLOCATION_D,INSERT_DATE,,,datetime,Stores all location master data used across shipments and orders.,Date or timestamp associated with the transaction or event.
OTM.ALLOCATION_D,INSERT_USER,,,datetime,Stores all location master data used across shipments and orders.,Business-specific data stored in column INSERT_USER.
OTM.ALLOCATION_D,MTBI_BUSINESS_UNIT,,,float,Stores all location master data used across shipments and orders.,Business-specific data stored in column MTBI_BUSINESS_UNIT.
OTM.ALLOCATION_D,ORDER_RELEASE_GID,,,datetime,Stores all location master data used across shipments and orders.,Unique identifier used to link records.
