mainTableName,COLUMN_NAME,referenceTableName,refColumnName,DATA_TYPE,TABLE_DESCRIPTION,COLUMN_DESCRIPTION
OTM.LOCATION,LOCATION_GID,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Unique primary key identifier for each location record in this dimension table."
OTM.LOCATION,LOCATION_NAME,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","The common name or description of the location (e.g., 'Warehouse A - Chicago', 'Port of Los Angeles', 'Customer Site XYZ')."
OTM.LOCATION,LOCATION_XID,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","External or cross-reference identifier for the location, if used."
OTM.LOCATION,CITY,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","The city where the location is situated."
OTM.LOCATION,PROVINCE_CODE,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","The state, province, or regional code for the location (e.g., 'IL', 'CA')."
OTM.LOCATION,COUNTRY_CODE3_GID,OTM.COUNTRY_CODE,COUNTRY_CODE3_GID,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Three-letter country code identifier for the location, linking to a country reference table (e.g., OTM.COUNTRY_CODE)."
OTM.LOCATION,POSTAL_CODE,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","The postal or ZIP code for the location."
OTM.LOCATION,LAT,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Latitude coordinate of the location for geographical mapping and distance calculations."
OTM.LOCATION,LON,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Longitude coordinate of the location for geographical mapping and distance calculations."
OTM.LOCATION,ZONE1,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Identifier for the primary logistical, sales, or geographical zone this location belongs to (e.g., 'North America East', 'Urban Delivery Zone A'). Document specific meaning if standardized."
OTM.LOCATION,ZONE2,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Identifier for a secondary logistical or geographical zone this location belongs to. Document specific meaning if standardized."
OTM.LOCATION,ZONE3,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Identifier for a tertiary logistical or geographical zone this location belongs to. Document specific meaning if standardized."
OTM.LOCATION,ZONE4,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","Identifier for a quaternary logistical or geographical zone this location belongs to. Document specific meaning if standardized."
OTM.LOCATION,DESCRIPTION,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","General descriptive text for the location, providing additional context not covered in other fields (e.g., 'Main entrance on 5th street', 'Receiving hours 8am-4pm')."
OTM.LOCATION,INSERT_DATE,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","System date when this location record was created. Primarily for auditing."
OTM.LOCATION,UPDATE_DATE,,,nvarchar,"Dimension table storing descriptive attributes for all geographical locations relevant to transportation and logistics, such as origins, destinations, stops, ports, and facilities.","System date when this location record was last modified. Primarily for auditing."
OTM.SHIPMENT,SHIPMENT_GID,,,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","Unique primary key identifier for each shipment record in this fact table."
OTM.SHIPMENT,SHIPMENT_XID,,,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","External or cross-reference identifier for the shipment (e.g., from a legacy system, trading partner system, or a customer's PO number)."
OTM.SHIPMENT,SHIPMENT_NAME,,,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","User-friendly name or description assigned to the shipment for easy identification or categorization."
OTM.SHIPMENT,DOMAIN_NAME,,,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","The OTM domain to which this shipment belongs, used in multi-domain or partitioned OTM environments."
OTM.SHIPMENT,SOURCE_LOCATION_GID,OTM.LOCATION,LOCATION_GID,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","Foreign key referencing OTM.LOCATION, identifying the shipment's origin location. Links to the LOCATION_GID in the OTM.LOCATION dimension table."
OTM.SHIPMENT,DEST_LOCATION_GID,OTM.LOCATION,LOCATION_GID,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","Foreign key referencing OTM.LOCATION, identifying the shipment's final destination. Links to the LOCATION_GID in the OTM.LOCATION dimension table."
OTM.SHIPMENT,SERVPROV_GID,OTM.SERVPROV,SERVPROV_GID,nvarchar,"Central fact table capturing transactional shipment events. Contains quantitative measures (costs, weights, volumes, counts, durations) and foreign keys linking to dimension tables like locations, carriers, and order releases. This table is primary for operational tracking and analytical reporting on shipment performance, costs, and timelines.","Foreign key identifying the service provider (carrier) responsible for the shipment. Links to the SERVPROV_GID in the OTM.SERVPROV dimension table (verify your carrier table name, e.g., OTM.CARRIER)."
